"Name","GPS","DateTime","NO2","O3_1hr","O3_4hr","O3_8hr","CO","PM10 1 hr","PM2.5 1 hr","PM10","PM2.5","AQI_CO","AQI_NO2","AQI_O3_1hr","AQI_O3_4hr","AQI_O3_8hr","AQI_PM10","AQI_PM2.5","AQI_Site","Date","Time"
"Civic","(-35.285399, 149.131536)","31/07/2022 01:00:00 PM",,"0.022","0.014","0.011",,"7.3","9.8","10.5","7.9",,,"22","17","17","21","32","32","31 July 2022","13:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 01:00:00 PM","0.013","0.012","0.009","0.006","0.61","11.8","18.9","31.1","28.6","7","16","12","11","9","62","115","115","31 July 2022","13:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 12:00:00 PM","0.007","0.018","0.007","0.004","0.84","17.6","19.4","27.4","26.2","9","9","18","9",,"55","105","105","31 July 2022","12:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 12:00:00 PM",,"0.014","0.011","0.009",,"6.9","10.9","10.3","7.7",,,"14","13","14","21","31","31","31 July 2022","12:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 12:00:00 PM","0.012","0.01","0.007","0.005","0.7","16","22.3","30.8","27.8","8","15","10","8","7","62","111","111","31 July 2022","12:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 11:00:00 AM","0.014","0.006","0.003","0.002","0.99","28.8","26.3","26.9","25.5","11","18","6","4",,"54","102","102","31 July 2022","11:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 11:00:00 AM","0.011","0.008","0.005","0.004","0.82","12.5","24.1","30.5","27.1","9","14","8","6","6","61","108","108","31 July 2022","11:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 11:00:00 AM",,"0.01","0.009","0.009",,"5.8","9","10.2","7.5",,,"10","11","14","20","30","30","31 July 2022","11:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 10:00:00 AM","0.012","0.005","0.003","0.004","0.93","28.6","38.6","30.1","26.4","10","15","5","4","5","60","106","106","31 July 2022","10:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 10:00:00 AM",,"0.009","0.008","0.009",,"4.1","7.1","10.2","7.4",,,"9","10","13","20","30","30","31 July 2022","10:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 10:00:00 AM","0.012","0.003","0.002","0.001","1.08","29.3","23.6","26.1","24.8","12","15","3","2",,"52","99","99","31 July 2022","10:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 09:00:00 AM","0.013","0.003","0.003","0.003","1.01","39.7","37.3","29.4","25.3","11","16","3","3","5","59","101","101","31 July 2022","09:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 09:00:00 AM",,"0.009","0.008","0.009",,"4.8","6.3","10.2","7.2",,,"9","10","13","20","29","29","31 July 2022","09:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 09:00:00 AM","0.01","0.002","0.001","0.001","1.19","27.1","24.6","25.6","24.8","13","13","2","1",,"51","99","99","31 July 2022","09:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 08:00:00 AM","0.013","0.003","0.003","0.004","1.05","36.2","30.9","28.5","24.6","12","16","3","3","6","57","98","98","31 July 2022","08:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 08:00:00 AM","0.01","0.001","0","0.001","1.3","26.7","23","25.3","24.6","14","13","1","0",,"51","98","98","31 July 2022","08:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 08:00:00 AM",,"0.007","0.008","0.009",,"4.8","4.8","10","7.1",,,"7","10","13","20","28","28","31 July 2022","08:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 07:00:00 AM",,"0.007","0.009","0.009",,"6.5","5.4","10.1","7.1",,,"7","11","13","20","28","28","31 July 2022","07:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 07:00:00 AM","0.012","0.002","0.003","0.004","1.08","39","31.4","27.7","24","12","15","2","4","6","55","96","96","31 July 2022","07:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 07:00:00 AM","0.01","0","0","0.001","1.35","29.8","22.3","25","24.2","15","13","0","0",,"50","97","97","31 July 2022","07:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 06:00:00 AM","0.013","0.003","0.004","0.004","1.12","43.5","39.4","26.8","23.3","12","16","3","5","7","54","93","93","31 July 2022","06:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 06:00:00 AM","0.01","0","0.001","0.001","1.4","34.8","26.5","24.6","24","16","13","0","1",,"49","96","96","31 July 2022","06:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 06:00:00 AM",,"0.008","0.01","0.008",,"6.2","5.7","10.1","7",,,"8","12","13","20","28","28","31 July 2022","06:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 05:00:00 AM","0.014","0.002","0.004","0.005","1.12","50.1","44.9","25.5","21.9","12","18","2","5","8","51","88","88","31 July 2022","05:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 05:00:00 AM",,"0.01","0.01","0.008",,"5.8","5.8","10.1","7",,,"10","12","12","20","28","28","31 July 2022","05:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 05:00:00 AM","0.011","0","0.001","0.002","1.44","41.3","31.4","24.1","23.6","16","14","0","1",,"48","94","94","31 July 2022","05:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 04:00:00 AM",,"0.011","0.01","0.007",,"8.7","7.4","10.2","6.9",,,"11","12","11","20","28","28","31 July 2022","04:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 04:00:00 AM","0.011","0.001","0.001","0.002","1.44","46.6","40.1","23.5","23.1","16","14","1","2",,"47","92","92","31 July 2022","04:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 04:00:00 AM","0.015","0.005","0.005","0.006","1.11","59.3","49.9","23.9","20.3","12","19","5","6","8","48","81","81","31 July 2022","04:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 03:00:00 AM","0.016","0.005","0.005","0.006","1.04","53.9","54.8","22","18.8","12","20","5","6","9","44","75","75","31 July 2022","03:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 03:00:00 AM","0.013","0.001","0.002","0.002","1.36","51.1","44.7","22.9","22.5","15","16","1","2",,"46","90","90","31 July 2022","03:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 03:00:00 AM",,"0.009","0.008","0.006",,"10.5","8.7","10.2","6.8",,,"9","10","10","20","27","27","31 July 2022","03:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 02:00:00 AM",,"0.009","0.007","0.006",,"7.7","9.8","10","6.6",,,"9","9","9","20","26","26","31 July 2022","02:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 02:00:00 AM","0.018","0.004","0.005","0.006","0.98","58.5","57.1","20.3","17.1","11","23","4","6","9","41","68","68","31 July 2022","02:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 02:00:00 AM","0.014","0.001","0.002","0.002","1.24","55.6","53.4","22.2","22.2","14","18","1","3",,"44","89","89","31 July 2022","02:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 01:00:00 AM","0.015","0.002","0.002","0.004","1.09","57.5","55.3","21.3","21.4","12","19","2","3",,"43","86","86","31 July 2022","01:00"
