"Name","GPS","DateTime","NO2","O3_1hr","O3_4hr","O3_8hr","CO","PM10 1 hr","PM2.5 1 hr","PM10","PM2.5","AQI_CO","AQI_NO2","AQI_O3_1hr","AQI_O3_4hr","AQI_O3_8hr","AQI_PM10","AQI_PM2.5","AQI_Site","Date","Time"
"Monash","(-35.418302, 149.094018)","06/07/2022 08:00:00 AM","0.008","0.023","0.025","0.028","0.07","7.3","-0.1","3.4","1.1","1","10","23","31","43","7","4","43","06 July 2022","08:00"
"Florey","(-35.220606, 149.0435)","06/07/2022 08:00:00 AM","0.007","0.023","0.027","0.028","0","3.7","3.4","3.6","4.2","0","9","23","33",,"7","17","43","06 July 2022","08:00"
"Florey","(-35.220606, 149.0435)","06/07/2022 07:00:00 AM","0.003","0.026","0.028","0.029","0","4.1","0.7","3.7","3.9","0","4","26","35",,"7","16","44","06 July 2022","07:00"
"Civic","(-35.285399, 149.131536)","06/07/2022 07:00:00 AM",,"0.011","0.021","0.025",,"6.9","1.8","4.9","2.6",,,"11","26","38","10","10","38","06 July 2022","07:00"
"Monash","(-35.418302, 149.094018)","06/07/2022 07:00:00 AM","0.008","0.021","0.027","0.029","0.06","2.5","-0.5","3.2","1.2","1","10","21","33","44","6","5","44","06 July 2022","07:00"
"Monash","(-35.418302, 149.094018)","06/07/2022 06:00:00 AM","0.004","0.025","0.029","0.03","0.06","4.1","-0.1","3.2","1.4","1","5","25","37","46","6","5","46","06 July 2022","06:00"
"Florey","(-35.220606, 149.0435)","06/07/2022 06:00:00 AM","0.001","0.029","0.029","0.029","0","3.9","1.8","3.7","4.1","0","1","29","36",,"7","17","44","06 July 2022","06:00"
"Civic","(-35.285399, 149.131536)","06/07/2022 06:00:00 AM",,"0.02","0.026","0.027",,"3.1","1.3","4.8","2.5",,,"20","32","42","10","10","42","06 July 2022","06:00"
"Civic","(-35.285399, 149.131536)","06/07/2022 05:00:00 AM",,"0.025","0.028","0.028",,"3.2","2.6","4.6","2.4",,,"25","35","43","9","10","43","06 July 2022","05:00"
"Florey","(-35.220606, 149.0435)","06/07/2022 05:00:00 AM","0","0.029","0.029","0.029","0.01","3","2.7","3.7","4.1","0","0","29","36",,"7","17","44","06 July 2022","05:00"
"Monash","(-35.418302, 149.094018)","06/07/2022 05:00:00 AM","0","0.03","0.031","0.031","0.06","2","0.8","3.1","1.4","1","0","30","38","47","6","6","47","06 July 2022","05:00"
"Civic","(-35.285399, 149.131536)","06/07/2022 04:00:00 AM",,"0.028","0.029","0.028",,"3.2","2.6","4.5","2.4",,,"28","36","43","9","10","43","06 July 2022","04:00"
"Florey","(-35.220606, 149.0435)","06/07/2022 04:00:00 AM","0","0.029","0.029","0.028","0.01","2.9","5.4","3.7","4.1","0","0","29","36",,"7","16","44","06 July 2022","04:00"
"Monash","(-35.418302, 149.094018)","06/07/2022 04:00:00 AM","0","0.031","0.031","0.031","0.06","4.6","-1.4","3.2","1.6","1","0","31","38","47","6","7","47","06 July 2022","04:00"
"Monash","(-35.418302, 149.094018)","06/07/2022 03:00:00 AM","0","0.031","0.031","0.031","0.07","2.3","-1","3","1.8","1","0","31","38","47","6","7","47","06 July 2022","03:00"
"Florey","(-35.220606, 149.0435)","06/07/2022 03:00:00 AM","0","0.029","0.029","0.028","0.02","3.7","4.2","3.7","3.9","0","0","29","36",,"7","16","43","06 July 2022","03:00"
"Civic","(-35.285399, 149.131536)","06/07/2022 03:00:00 AM",,"0.029","0.029","0.028",,"3","1.4","4.4","2.4",,,"29","36","44","9","10","44","06 July 2022","03:00"
"Monash","(-35.418302, 149.094018)","06/07/2022 02:00:00 AM","0","0.03","0.031","0.03","0.07","3.4","-9","2.9","1.9","1","0","30","38","47","6","8","47","06 July 2022","02:00"
"Florey","(-35.220606, 149.0435)","06/07/2022 02:00:00 AM","0","0.029","0.029","0.028","0.04","2.8","14.5","3.6","3.9","0","0","29","36",,"7","16","43","06 July 2022","02:00"
"Civic","(-35.285399, 149.131536)","06/07/2022 02:00:00 AM",,"0.029","0.029","0.028",,"2.9","0.6","4.4","2.4",,,"29","36","43","9","10","43","06 July 2022","02:00"
"Civic","(-35.285399, 149.131536)","06/07/2022 01:00:00 AM",,"0.029","0.029","0.028",,"1.6","0.8","4.4","2.3",,,"29","36","43","9","9","43","06 July 2022","01:00"
"Monash","(-35.418302, 149.094018)","06/07/2022 01:00:00 AM","0","0.031","0.031","0.03","0.08","5.7","-5.4","3","2.1","1","0","31","39","46","6","8","46","06 July 2022","01:00"
"Florey","(-35.220606, 149.0435)","06/07/2022 01:00:00 AM","0","0.029","0.028","0.028","0.05","3.8","7.1","3.6","3.4","1","0","29","35",,"7","14","43","06 July 2022","01:00"
"Monash","(-35.418302, 149.094018)","06/07/2022 12:00:00 AM","0","0.031","0.031","0.03","0.08","1.6","0.4","2.7","2.3","1","0","31","38","46","5","9","46","06 July 2022","00:00"
"Civic","(-35.285399, 149.131536)","06/07/2022 12:00:00 AM",,"0.029","0.028","0.028",,"3","2.4","4.4","2.3",,,"29","35","43","9","9","43","06 July 2022","00:00"
"Florey","(-35.220606, 149.0435)","06/07/2022 12:00:00 AM","0","0.029","0.028","0.027","0.07","2.7","6.6","3.6","3.3","1","0","29","35",,"7","13","42","06 July 2022","00:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 11:00:00 PM","0","0.031","0.031","0.03","0.08","5.1","1.3","2.7","2.3","1","0","31","38","46","5","9","46","05 July 2022","23:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 11:00:00 PM",,"0.029","0.028","0.027",,"3.5","3.1","4.4","2.4",,,"29","35","42","9","9","42","05 July 2022","23:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 11:00:00 PM","0.002","0.028","0.027","0.027","0.08","0.2","6.1","3.6","3.2","1","3","28","34",,"7","13","42","05 July 2022","23:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 10:00:00 PM","0","0.031","0.03","0.029","0.08","2","5.1","2.6","2.3","1","0","31","38","45","5","9","45","05 July 2022","22:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 10:00:00 PM",,"0.027","0.028","0.027",,"4.5","3.3","4.4","2.3",,,"27","34","42","9","9","42","05 July 2022","22:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 10:00:00 PM","0.003","0.027","0.027","0.027","0.1","0.5","7.4","3.8","3.2","1","4","27","34",,"8","13","42","05 July 2022","22:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 09:00:00 PM","0.001","0.03","0.029","0.029","0.09","3.4","0.4","2.5","2.3","1","1","30","37","45","5","9","45","05 July 2022","21:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 09:00:00 PM","0.003","0.027","0.027","0.027","0.11","4.3","8","3.9","3","1","4","27","34",,"8","12","42","05 July 2022","21:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 09:00:00 PM",,"0.026","0.028","0.027",,"5.4","2.5","4.3","2.3",,,"26","34","42","9","9","42","05 July 2022","21:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 08:00:00 PM",,"0.029","0.028","0.028",,"5.2","3.7","4.3","2.4",,,"29","34","43","9","9","43","05 July 2022","20:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 08:00:00 PM","0.001","0.03","0.029","0.029","0.09","3.2","2.9","2.7","2.3","1","1","30","36","45","5","9","45","05 July 2022","20:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 08:00:00 PM","0.004","0.027","0.027","0.027","0.12","5.3","7","3.9","3","1","5","27","34",,"8","12","42","05 July 2022","20:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 07:00:00 PM","0.002","0.029","0.029","0.029","0.09","2.3","-0.2","2.7","2","1","3","29","36","45","5","8","45","05 July 2022","19:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 07:00:00 PM",,"0.028","0.027","0.028",,"6.2","5.5","4.3","2.4",,,"28","34","42","9","10","42","05 July 2022","19:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 07:00:00 PM","0.003","0.028","0.027","0.028","0.13","5.6","6.8","3.8","2.8","1","4","28","34",,"8","11","43","05 July 2022","19:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 06:00:00 PM","0.002","0.028","0.029","0.029","0.09","2.2","-1.4","2.7","2.2","1","3","28","36","45","5","9","45","05 July 2022","18:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 06:00:00 PM",,"0.027","0.027","0.028",,"7.5","5.6","4.3","2.5",,,"27","33","42","9","10","42","05 July 2022","18:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 06:00:00 PM","0.004","0.027","0.027","0.028","0.13","5.8","9.9","3.8","2.6","1","5","27","34",,"8","10","43","05 July 2022","18:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 05:00:00 PM",,"0.026","0.027","0.028",,"9","3.5","4.2","2.6",,,"26","34","43","8","10","43","05 July 2022","17:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 05:00:00 PM","0.001","0.029","0.029","0.03","0.09","2.4","3.1","2.8","2.3","1","1","29","36","46","6","9","46","05 July 2022","17:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 05:00:00 PM","0.004","0.026","0.027","0.028","0.11","5.9","4.6","3.8","2.3","1","5","26","34",,"8","9","43","05 July 2022","17:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 04:00:00 PM",,,"0.028","0.029","0.1","4.6","4","3.7","2.7","1",,,"35",,"7","11","44","05 July 2022","16:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 04:00:00 PM",,,"0.028","0.028",,"8.1","2.7","4.1","2.6",,,,"35","43","8","10","43","05 July 2022","16:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 04:00:00 PM",,,"0.029","0.03","0.09","6.2","6.6","2.7","2.2","1",,,"37","46","5","9","46","05 July 2022","16:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 03:00:00 PM","0.001","0.029","0.03","0.03","0.09","2.2","3.9","2.6","1.9","1","1","29","37","46","5","8","46","05 July 2022","15:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 03:00:00 PM","0.001","0.028","0.028","0.029","0.08","3.2","1.4","3.7","2.6","1","1","28","35",,"7","11","44","05 July 2022","15:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 03:00:00 PM",,"0.027","0.028","0.028",,"7.1","3.9","3.9","2.5",,,"27","35","43","8","10","43","05 July 2022","15:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 02:00:00 PM","0.001","0.028","0.029","0.029","0.07","2.7","2.3","3.7","2.6","1","1","28","36",,"7","10","44","05 July 2022","14:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 02:00:00 PM","0.001","0.029","0.03","0.03","0.09","4.1","1.4","2.6","1.8","1","1","29","37","47","5","7","47","05 July 2022","14:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 02:00:00 PM",,"0.029","0.028","0.028",,"8.6","4.8","4","2.5",,,"29","35","43","8","10","43","05 July 2022","14:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 01:00:00 PM","0.001","0.03","0.03","0.031","0.09","5.3","3.3","2.6","1.7","1","1","30","38","47","5","7","47","05 July 2022","13:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 01:00:00 PM","0.001","0.028","0.029","0.029","0.05","2.7","0.3","3.7","2.5","1","1","28","36",,"7","10","45","05 July 2022","13:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 01:00:00 PM",,"0.028","0.028","0.028",,"3.6","2.5","4.1","2.5",,,"28","35","43","8","10","43","05 July 2022","13:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 12:00:00 PM","0.001","0.029","0.029","0.029","0.03","4","-0.8","3.8","2.4","0","1","29","36",,"8","10","45","05 July 2022","12:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 12:00:00 PM","0.001","0.03","0.031","0.031","0.08","7.2","2.7","2.6","1.9","1","1","30","38","47","5","7","47","05 July 2022","12:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 12:00:00 PM",,"0.028","0.028","0.028",,"-0.2","3","4.2","2.5",,,"28","35","43","8","10","43","05 July 2022","12:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 11:00:00 AM","0.001","0.029","0.029","0.029","0.02","5.4","-3.4","3.8","2.3","0","1","29","36",,"8","9","45","05 July 2022","11:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 11:00:00 AM",,"0.028","0.028","0.028",,"4.5","2.2","4.4","2.6",,,"28","34","43","9","10","43","05 July 2022","11:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 11:00:00 AM","0.001","0.03","0.031","0.031","0.08","0.8","1.8","2.3","1.6","1","1","30","38","48","5","7","48","05 July 2022","11:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 10:00:00 AM","0.001","0.031","0.031","0.031","0.08","2","8","2.6","1.8","1","1","31","39","48","5","7","48","05 July 2022","10:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 10:00:00 AM","0.001","0.029","0.029","0.029","0.01","3.5","4.2","3.8","2.4","0","1","29","36",,"8","10","45","05 July 2022","10:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 10:00:00 AM",,"0.028","0.028","0.029",,"8.5","0.1","4.3","2.8",,,"28","34","44","9","11","44","05 July 2022","10:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 09:00:00 AM","0.002","0.029","0.029","0.029","0","2.4","-2.3","3.8","2.7","0","3","29","37",,"8","11","45","05 July 2022","09:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 09:00:00 AM","0.001","0.031","0.031","0.031","0.07","-0.7","4.1","2.7","2.3","1","1","31","39","48","5","9","48","05 July 2022","09:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 09:00:00 AM",,"0.027","0.028","0.029",,"3.1","1.1","4","3",,,"27","35","44","8","12","44","05 July 2022","09:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 08:00:00 AM","0.002","0.028","0.03","0.03","0","4.9","-3.6","3.9","2.7","0","3","28","37",,"8","11","45","05 July 2022","08:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 08:00:00 AM","0.001","0.031","0.031","0.031","0.06","3.6","1.8","2.8","2.6","1","1","31","39","48","6","11","48","05 July 2022","08:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 08:00:00 AM",,"0.027","0.029","0.029",,"6.5","0.8","4","3",,,"27","36","44","8","12","44","05 July 2022","08:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 07:00:00 AM","0.001","0.03","0.03","0.03","0","5","5","3.9","2.8","0","1","30","37",,"8","11","46","05 July 2022","07:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 07:00:00 AM","0.001","0.031","0.031","0.031","0.06","0.8","3.7","2.7","2.6","1","1","31","39","47","5","10","47","05 July 2022","07:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 07:00:00 AM",,"0.028","0.029","0.029",,"2.9","-0.3","3.9","3",,,"28","36","45","8","12","45","05 July 2022","07:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 06:00:00 AM","0.001","0.031","0.031","0.031","0.05","3.2","1.2","2.8","2.6","1","1","31","38","47","6","10","47","05 July 2022","06:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 06:00:00 AM","0","0.03","0.03","0.03","0","3.2","2.3","3.9","2.6","0","0","30","37",,"8","10","46","05 July 2022","06:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 06:00:00 AM",,"0.03","0.03","0.029",,"-0.1","-0.9","3.9","3.1",,,"30","37","45","8","12","45","05 July 2022","06:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 05:00:00 AM",,"0.029","0.029","0.029",,"1","2.8","4.2","3.2",,,"29","37","45","8","13","45","05 July 2022","05:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 05:00:00 AM","0","0.031","0.031","0.031","0.05","3","5.8","2.8","2.7","1","0","31","38","47","6","11","47","05 July 2022","05:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 05:00:00 AM","0","0.03","0.03","0.03","0","3.2","0.3","4","2.5","0","0","30","37",,"8","10","46","05 July 2022","05:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 04:00:00 AM","0","0.029","0.03","0.029","0","3","2.7","4.1","2.4","0","0","29","37",,"8","10","45","05 July 2022","04:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 04:00:00 AM",,"0.029","0.029","0.029",,"0.9","2.4","4.3","3.2",,,"29","37","45","9","13","45","05 July 2022","04:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 04:00:00 AM","0","0.031","0.031","0.03","0.05","1.2","3","2.8","2.6","1","0","31","38","47","6","10","47","05 July 2022","04:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 03:00:00 AM",,"0.03","0.029","0.029",,"2.5","1.1","4.4","3.2",,,"30","37","45","9","13","45","05 July 2022","03:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 03:00:00 AM","0","0.029","0.03","0.029","0.01","2.5","3","4.1","2.4","0","0","29","37",,"8","10","45","05 July 2022","03:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 03:00:00 AM","0","0.03","0.031","0.03","0.04","0.2","0.7","2.9","2.7","0","0","30","38","46","6","11","46","05 July 2022","03:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 02:00:00 AM",,"0.029","0.029","0.029",,"3.4","-0.2","4.5","3.2",,,"29","36","44","9","13","44","05 July 2022","02:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 02:00:00 AM","0","0.03","0.03","0.029","0.02","2.8","3.1","4.2","2.3","0","0","30","38",,"8","9","45","05 July 2022","02:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 02:00:00 AM","0","0.031","0.031","0.03","0.04","4.1","-3.5","3","2.7","0","0","31","38","46","6","11","46","05 July 2022","02:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 01:00:00 AM",,"0.029","0.029","0.028",,"-0.2","0.8","4.6","3.3",,,"29","36","43","9","13","43","05 July 2022","01:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 01:00:00 AM","0","0.03","0.03","0.029","0.04","3.2","5","4.2","2.6","0","0","30","37",,"8","10","44","05 July 2022","01:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 01:00:00 AM","0","0.031","0.031","0.03","0.04","-1.4","-1.2","3","2.7","0","0","31","38","46","6","11","46","05 July 2022","01:00"
"Civic","(-35.285399, 149.131536)","05/07/2022 12:00:00 AM",,"0.029","0.029","0.027",,"3.7","2.6","4.8","3.3",,,"29","36","42","10","13","42","05 July 2022","00:00"
"Monash","(-35.418302, 149.094018)","05/07/2022 12:00:00 AM","0","0.03","0.03","0.029","0.04","1.5","1.5","3.1","2.9","0","0","30","38","45","6","12","45","05 July 2022","00:00"
"Florey","(-35.220606, 149.0435)","05/07/2022 12:00:00 AM","0","0.03","0.029","0.028","0.04","3.1","3.4","4.3","2.7","0","0","30","37",,"9","11","44","05 July 2022","00:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 11:00:00 PM","0","0.03","0.029","0.028","0.05","3.4","5.4","4.4","2.8","1","0","30","36",,"9","11","43","04 July 2022","23:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 11:00:00 PM",,"0.029","0.029","0.027",,"3.8","2.9","4.8","3.3",,,"29","36","41","10","13","41","04 July 2022","23:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 11:00:00 PM","0","0.031","0.03","0.029","0.04","3.4","0.1","3.1","2.9","0","0","31","37","45","6","12","45","04 July 2022","23:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 10:00:00 PM",,"0.029","0.028","0.027",,"2.1","2.5","4.7","3.2",,,"29","35","41","9","13","41","04 July 2022","22:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 10:00:00 PM","0","0.029","0.028","0.028","0.07","3.8","4.4","4.6","2.6","1","0","29","35",,"9","11","43","04 July 2022","22:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 10:00:00 PM","0","0.031","0.029","0.029","0.04","0.3","6.2","3.1","3","0","0","31","37","45","6","12","45","04 July 2022","22:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 09:00:00 PM",,"0.029","0.027","0.027",,"5.3","3.8","4.7","3.1",,,"29","34","41","9","13","41","04 July 2022","21:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 09:00:00 PM","0.001","0.028","0.028","0.028","0.09","3.7","8.1","4.7","2.7","1","1","28","35",,"9","11","43","04 July 2022","21:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 09:00:00 PM","0","0.028","0.029","0.029","0.05","7","-1","3.2","2.9","1","0","28","36","45","6","11","45","04 July 2022","21:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 08:00:00 PM",,"0.028","0.025","0.027",,"5.6","4.5","4.6","3.1",,,"28","32","41","9","12","41","04 July 2022","20:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 08:00:00 PM","0.001","0.029","0.028","0.028","0.11","4.7","2.2","4.6","2.6","1","1","29","34",,"9","10","43","04 July 2022","20:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 08:00:00 PM","0.001","0.029","0.029","0.03","0.06","4.1","-3.5","2.9","3","1","1","29","36","45","6","12","45","04 July 2022","20:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 07:00:00 PM","0.001","0.029","0.029","0.03","0.06","2.7","4.3","2.9","3.7","1","1","29","36","45","6","15","45","04 July 2022","19:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 07:00:00 PM","0.001","0.027","0.027","0.028","0.12","5.6","0.3","4.5","2.6","1","1","27","34",,"9","10","43","04 July 2022","19:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 07:00:00 PM",,"0.026","0.024","0.027",,"6.5","7.3","4.4","3.1",,,"26","30","41","9","12","41","04 July 2022","19:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 06:00:00 PM","0.001","0.028","0.029","0.03","0.07","3.4","0.5","2.9","3.6","1","1","28","37","46","6","14","46","04 July 2022","18:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 06:00:00 PM","0.002","0.027","0.028","0.028","0.12","5.8","3.9","4.4","2.8","1","3","27","35",,"9","11","44","04 July 2022","18:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 06:00:00 PM",,"0.025","0.025","0.027",,"3.7","8.2","4.3","3",,,"25","32","41","9","12","41","04 July 2022","18:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 05:00:00 PM",,"0.022","0.026","0.027",,"6.3","2.7","4.3","3",,,"22","33","42","9","12","42","04 July 2022","17:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 05:00:00 PM","0.001","0.029","0.03","0.03","0.07","1.1","2","2.7","3.7","1","1","29","38","46","5","15","46","04 July 2022","17:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 05:00:00 PM","0.002","0.027","0.028","0.029","0.11","1.7","14.3","4.3","3.1","1","3","27","35",,"9","12","44","04 July 2022","17:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 04:00:00 PM",,,"0.028","0.028",,"4.3","2.5","4.1","3",,,,"35","43","8","12","43","04 July 2022","16:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 04:00:00 PM",,,"0.029","0.029","0.1","4.9","1.7","4.4","2.7","1",,,"36",,"9","11","44","04 July 2022","16:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 04:00:00 PM",,,"0.031","0.03","0.07","2.3","-1.6","2.8","3.7","1",,,"38","46","6","15","46","04 July 2022","16:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 03:00:00 PM","0","0.029","0.029","0.029","0.09","3.7","1.3","4.2","2.7","1","0","29","36",,"8","11","44","04 July 2022","15:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 03:00:00 PM","0.001","0.031","0.03","0.03","0.07","2.4","0.7","2.7","3.8","1","1","31","38","46","5","15","46","04 July 2022","15:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 03:00:00 PM",,"0.029","0.028","0.028",,"9.1","3.7","4.2","2.8",,,"29","35","42","8","11","42","04 July 2022","15:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 02:00:00 PM","0","0.031","0.03","0.029","0.07","4.6","0.5","2.7","3.8","1","0","31","38","45","5","15","45","04 July 2022","14:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 02:00:00 PM","0","0.029","0.029","0.029","0.07","2.9","-1.3","4.1","2.5","1","0","29","36",,"8","10","44","04 July 2022","14:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 02:00:00 PM",,"0.028","0.028","0.027",,"12.2","4.7","3.9","2.7",,,"28","35","42","8","11","42","04 July 2022","14:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 01:00:00 PM","0.001","0.03","0.03","0.029","0.07","4.8","6.8","2.5","3.8","1","1","30","37","45","5","15","45","04 July 2022","13:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 01:00:00 PM","0","0.029","0.029","0.029","0.06","3.7","-2","4","2.4","1","0","29","36",,"8","10","44","04 July 2022","13:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 01:00:00 PM",,"0.028","0.028","0.027",,"5.3","3","3.4","2.6",,,"28","35","42","7","10","42","04 July 2022","13:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 12:00:00 PM","0.001","0.029","0.029","0.029","0.07","1.5","-2.7","2.3","3.5","1","1","29","37","45","5","14","45","04 July 2022","12:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 12:00:00 PM","0","0.029","0.029","0.029","0.04","5.1","-3.2","3.9","2.5","0","0","29","36",,"8","10","44","04 July 2022","12:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 12:00:00 PM",,"0.028","0.027","0.027",,"3.7","4.3","3.2","2.5",,,"28","34","42","6","10","42","04 July 2022","12:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 11:00:00 AM",,"0.028","0.027","0.027",,"2.9","5.9","3","2.4",,,"28","33","42","6","10","42","04 July 2022","11:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 11:00:00 AM","0","0.029","0.028","0.028","0.02","5.1","-1","3.9","2.3","0","0","29","35",,"8","9","44","04 July 2022","11:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 11:00:00 AM","0","0.03","0.029","0.029","0.07","7.2","5","2.4","3.6","1","0","30","37","45","5","14","45","04 July 2022","11:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 10:00:00 AM","0","0.028","0.028","0.028","0.01","4.1","10.7","3.8","2.2","0","0","28","35",,"8","9","43","04 July 2022","10:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 10:00:00 AM","0.001","0.029","0.029","0.029","0.06","5","20.4","2.2","3.5","1","1","29","36","44","4","14","44","04 July 2022","10:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 10:00:00 AM",,"0.027","0.027","0.027",,"1.4","4.8","2.9","2.3",,,"27","33","42","6","9","42","04 July 2022","10:00"
"Monash","(-35.418302, 149.094018)","04/07/2022 09:00:00 AM","0.001","0.029","0.029","0.029","0.06","0.8","12.8","2","2.8","1","1","29","36","44","4","11","44","04 July 2022","09:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 09:00:00 AM",,"0.026","0.027","0.027",,"3.8","1.5","2.9","2.1",,,"26","33","42","6","9","42","04 July 2022","09:00"
"Florey","(-35.220606, 149.0435)","04/07/2022 09:00:00 AM","0.001","0.028","0.028","0.028","0","3.8","-0.2","3.7","2.1","0","1","28","35",,"7","8","43","04 July 2022","09:00"
"Civic","(-35.285399, 149.131536)","04/07/2022 08:00:00 AM",,"0.026","0.027","0.027",,"3.6","1.3","2.7","2.1",,,"26","34","42","5","9","42","04 July 2022","08:00"
